___November_2021_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
 160   3  139.00  -85.00       -0.1461
 161   3  141.00  -85.00       -0.1461
 162   3  143.00  -85.00       -0.1461
 163   3  145.00  -85.00       -0.1461
 164   3  147.00  -85.00       -0.1461
 165   3  149.00  -85.00       -0.1461
 166   3  151.00  -85.00       -0.1461
 167   3  153.00  -85.00       -0.1461
 168   3  155.00  -85.00       -0.1461
 169   3  157.00  -85.00       -0.1461
 170   3  159.00  -85.00       -0.1461
 171   3  161.00  -85.00       -0.1461
 172   3  163.00  -85.00       -0.1461
 173   3  165.00  -85.00       -0.1461
 174   3  167.00  -85.00       -0.1461
 175   3  169.00  -85.00       -0.1461
 176   3  171.00  -85.00       -0.1461
 177   3  173.00  -85.00       -0.1461
 178   3  175.00  -85.00       -0.1461
 179   3  177.00  -85.00       -0.1461
 180   3  179.00  -85.00       -0.1461
   1   4 -179.00  -83.00       -0.1461
   2   4 -177.00  -83.00       -0.1461
   3   4 -175.00  -83.00       -0.1461
   4   4 -173.00  -83.00       -0.1461
   5   4 -171.00  -83.00       -0.1461
   6   4 -169.00  -83.00       -0.1461
   7   4 -167.00  -83.00       -0.1461
   8   4 -165.00  -83.00       -0.1461
   9   4 -163.00  -83.00       -0.1461
  10   4 -161.00  -83.00       -0.1461
  11   4 -159.00  -83.00       -0.1461
  12   4 -157.00  -83.00       -0.1461
  13   4 -155.00  -83.00       -0.1461
  14   4 -153.00  -83.00       -0.1461
  15   4 -151.00  -83.00       -0.1461
  16   4 -149.00  -83.00       -0.1461
  17   4 -147.00  -83.00       -0.1461
  18   4 -145.00  -83.00       -0.1461
  19   4 -143.00  -83.00       -0.1461
  20   4 -141.00  -83.00       -0.1461
  21   4 -139.00  -83.00       -0.1461
  22   4 -137.00  -83.00       -0.1461
  23   4 -135.00  -83.00       -0.1461
  24   4 -133.00  -83.00       -0.1461
  25   4 -131.00  -83.00       -0.1461
  26   4 -129.00  -83.00       -0.1461
  27   4 -127.00  -83.00       -0.1461
  28   4 -125.00  -83.00       -0.1461
  29   4 -123.00  -83.00       -0.1461
  30   4 -121.00  -83.00       -0.1461
  31   4 -119.00  -83.00       -0.1461
  32   4 -117.00  -83.00       -0.1461
  33   4 -115.00  -83.00       -0.1461
  34   4 -113.00  -83.00       -0.1461
  35   4 -111.00  -83.00       -0.1461
  36   4 -109.00  -83.00       -0.1461
  37   4 -107.00  -83.00       -0.1461
  38   4 -105.00  -83.00       -0.1461
  39   4 -103.00  -83.00       -0.1461
  40   4 -101.00  -83.00       -0.1461
  41   4  -99.00  -83.00       -0.1461
  42   4  -97.00  -83.00       -0.1461
  43   4  -95.00  -83.00       -0.1461
